Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT2,PM2.5,01/01/2018 00:00,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 00:15,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 00:30,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 00:45,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 01:00,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 01:15,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 01:30,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 01:45,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 02:00,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 02:15,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 02:30,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 02:45,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 03:00,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 03:15,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 03:30,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 03:45,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 04:00,5.00000,ug m-3,R
CT2,PM2.5,01/01/2018 04:15,5.00000,ug m-3,R
CT2,PM2.5,01/01/2018 04:30,5.00000,ug m-3,R
CT2,PM2.5,01/01/2018 04:45,5.00000,ug m-3,R
CT2,PM2.5,01/01/2018 05:00,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 05:15,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 05:30,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 05:45,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 06:00,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 06:15,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 06:30,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 06:45,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 07:00,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 07:15,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 07:30,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 07:45,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 08:00,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 08:15,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 08:30,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 08:45,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 09:00,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 09:15,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 09:30,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 09:45,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 10:00,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 10:15,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 10:30,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 10:45,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 11:00,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 11:15,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 11:30,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 11:45,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 12:00,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 12:15,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 12:30,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 12:45,12.00000,ug m-3,R
CT2,PM2.5,01/01/2018 13:00,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 13:15,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 13:30,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 13:45,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 14:00,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 14:15,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 14:30,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 14:45,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 15:00,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 15:15,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 15:30,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 15:45,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 16:00,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 16:15,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 16:30,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 16:45,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 17:00,15.00000,ug m-3,R
CT2,PM2.5,01/01/2018 17:15,15.00000,ug m-3,R
CT2,PM2.5,01/01/2018 17:30,15.00000,ug m-3,R
CT2,PM2.5,01/01/2018 17:45,15.00000,ug m-3,R
CT2,PM2.5,01/01/2018 18:00,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 18:15,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 18:30,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 18:45,14.00000,ug m-3,R
CT2,PM2.5,01/01/2018 19:00,11.00000,ug m-3,R
CT2,PM2.5,01/01/2018 19:15,11.00000,ug m-3,R
CT2,PM2.5,01/01/2018 19:30,11.00000,ug m-3,R
CT2,PM2.5,01/01/2018 19:45,11.00000,ug m-3,R
CT2,PM2.5,01/01/2018 20:00,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 20:15,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 20:30,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 20:45,10.00000,ug m-3,R
CT2,PM2.5,01/01/2018 21:00,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 21:15,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 21:30,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 21:45,7.00000,ug m-3,R
CT2,PM2.5,01/01/2018 22:00,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 22:15,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 22:30,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 22:45,6.00000,ug m-3,R
CT2,PM2.5,01/01/2018 23:00,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 23:15,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 23:30,8.00000,ug m-3,R
CT2,PM2.5,01/01/2018 23:45,8.00000,ug m-3,R
CT2,PM2.5,02/01/2018 00:00,6.00000,ug m-3,R
CT2,PM2.5,02/01/2018 00:15,6.00000,ug m-3,R
CT2,PM2.5,02/01/2018 00:30,6.00000,ug m-3,R
CT2,PM2.5,02/01/2018 00:45,6.00000,ug m-3,R
CT2,PM2.5,02/01/2018 01:00,3.00000,ug m-3,R
CT2,PM2.5,02/01/2018 01:15,3.00000,ug m-3,R
CT2,PM2.5,02/01/2018 01:30,3.00000,ug m-3,R
CT2,PM2.5,02/01/2018 01:45,3.00000,ug m-3,R
CT2,PM2.5,02/01/2018 02:00,5.00000,ug m-3,R
CT2,PM2.5,02/01/2018 02:15,5.00000,ug m-3,R
CT2,PM2.5,02/01/2018 02:30,5.00000,ug m-3,R
CT2,PM2.5,02/01/2018 02:45,5.00000,ug m-3,R
CT2,PM2.5,02/01/2018 03:00,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 03:15,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 03:30,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 03:45,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 04:00,9.00000,ug m-3,R
CT2,PM2.5,02/01/2018 04:15,9.00000,ug m-3,R
CT2,PM2.5,02/01/2018 04:30,9.00000,ug m-3,R
CT2,PM2.5,02/01/2018 04:45,9.00000,ug m-3,R
CT2,PM2.5,02/01/2018 05:00,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 05:15,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 05:30,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 05:45,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 06:00,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 06:15,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 06:30,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 06:45,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 07:00,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 07:15,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 07:30,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 07:45,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 08:00,19.00000,ug m-3,R
CT2,PM2.5,02/01/2018 08:15,19.00000,ug m-3,R
CT2,PM2.5,02/01/2018 08:30,19.00000,ug m-3,R
CT2,PM2.5,02/01/2018 08:45,19.00000,ug m-3,R
CT2,PM2.5,02/01/2018 09:00,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 09:15,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 09:30,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 09:45,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 10:00,20.00000,ug m-3,R
CT2,PM2.5,02/01/2018 10:15,20.00000,ug m-3,R
CT2,PM2.5,02/01/2018 10:30,20.00000,ug m-3,R
CT2,PM2.5,02/01/2018 10:45,20.00000,ug m-3,R
CT2,PM2.5,02/01/2018 11:00,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 11:15,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 11:30,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 11:45,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 12:00,15.00000,ug m-3,R
CT2,PM2.5,02/01/2018 12:15,15.00000,ug m-3,R
CT2,PM2.5,02/01/2018 12:30,15.00000,ug m-3,R
CT2,PM2.5,02/01/2018 12:45,15.00000,ug m-3,R
CT2,PM2.5,02/01/2018 13:00,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 13:15,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 13:30,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 13:45,12.00000,ug m-3,R
CT2,PM2.5,02/01/2018 14:00,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 14:15,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 14:30,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 14:45,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 15:00,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 15:15,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 15:30,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 15:45,7.00000,ug m-3,R
CT2,PM2.5,02/01/2018 16:00,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 16:15,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 16:30,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 16:45,10.00000,ug m-3,R
CT2,PM2.5,02/01/2018 17:00,14.00000,ug m-3,R
CT2,PM2.5,02/01/2018 17:15,14.00000,ug m-3,R
CT2,PM2.5,02/01/2018 17:30,14.00000,ug m-3,R
CT2,PM2.5,02/01/2018 17:45,14.00000,ug m-3,R
CT2,PM2.5,02/01/2018 18:00,18.00000,ug m-3,R
CT2,PM2.5,02/01/2018 18:15,18.00000,ug m-3,R
CT2,PM2.5,02/01/2018 18:30,18.00000,ug m-3,R
CT2,PM2.5,02/01/2018 18:45,18.00000,ug m-3,R
CT2,PM2.5,02/01/2018 19:00,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 19:15,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 19:30,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 19:45,16.00000,ug m-3,R
CT2,PM2.5,02/01/2018 20:00,22.00000,ug m-3,R
CT2,PM2.5,02/01/2018 20:15,22.00000,ug m-3,R
CT2,PM2.5,02/01/2018 20:30,22.00000,ug m-3,R
CT2,PM2.5,02/01/2018 20:45,22.00000,ug m-3,R
CT2,PM2.5,02/01/2018 21:00,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 21:15,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 21:30,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 21:45,17.00000,ug m-3,R
CT2,PM2.5,02/01/2018 22:00,6.00000,ug m-3,R
CT2,PM2.5,02/01/2018 22:15,6.00000,ug m-3,R
CT2,PM2.5,02/01/2018 22:30,6.00000,ug m-3,R
