price,neighbourhood,latitude,longitude,property_type,bathrooms,bedrooms,beds,host_is_superhost,parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
149,18.0,40.64749,-73.97237,1.0,1.0,1,1,0.0,1.0,0,1,0
150,80.0,40.80902,-73.9419,1.0,1.0,1,1,0.0,0.0,0,1,0
190,80.0,40.79685,-73.94872,1.0,1.0,2,2,0.0,0.0,1,0,0
60,18.0,40.65599,-73.97519,12.0,1.0,1,1,1.0,1.0,0,1,0
80,101.0,40.86754,-73.92639,1.0,1.0,1,1,0.0,1.0,0,1,0
150,58.0,40.63702,-73.96327,21.0,1.0,1,2,0.0,0.0,0,1,0
120,18.0,40.66278,-73.97966,1.0,1.0,1,1,0.0,0.0,1,0,0
150,58.0,40.65944,-73.96238,1.0,1.0,1,1,0.0,1.0,1,0,0
115,18.0,40.68554,-73.9409,29.0,1.0,2,2,0.0,0.0,1,0,0
200,101.0,40.73961,-73.98074,1.0,1.0,1,1,0.0,1.0,1,0,0
110,101.0,40.72004,-73.99104,1.0,1.0,1,1,0.0,0.0,0,1,0
225,18.0,40.6734299999999,-73.98338,12.0,2.0,2,1,0.0,0.0,1,0,0
130,58.0,40.65401,-73.96323,1.0,2.0,1,2,0.0,1.0,1,0,0
50,101.0,40.72912,-73.98057,1.0,1.0,1,1,0.0,0.0,0,1,0
98,32.0,40.68634,-73.966,29.0,1.0,1,2,0.0,0.0,0,1,0
89,101.0,40.82803,-73.94731,1.0,1.0,1,1,0.0,0.0,0,1,0
60,79.0,40.82279,-73.95139,1.0,1.0,1,1,0.0,1.0,0,1,0
200,68.0,40.68157,-73.98989,29.0,2.0,3,3,0.0,1.0,1,0,0
125,18.0,40.68698,-73.9657199999999,29.0,1.0,1,2,0.0,1.0,0,1,0
140,101.0,40.7288,-73.98192,1.0,1.0,1,1,0.0,0.0,1,0,0
350,101.0,40.7254,-73.9815699999999,1.0,2.0,2,4,1.0,0.0,1,0,0
400,18.0,40.66499,-73.97925,1.0,1.5,2,6,0.0,0.0,1,0,0
170,101.0,40.77842,-73.97556,1.0,1.0,1,2,0.0,0.0,1,0,0
75,95.0,40.65593,-73.96053,1.0,1.0,1,1,0.0,0.0,0,1,0
90,18.0,40.7192299999999,-73.96468,1.0,1.0,1,1,0.0,0.0,0,1,0
