,id,name,transit,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
20,26933,2 BR / 2 Bath Duplex Apt with patio! East Village,"Walking is the safest and easiest way to get around. Subways are close, all within 10 minute walk in different directions. You can get a bus on the block that will bring you to subway in 5 minutes. Outside of work rush hours, you can always get a taxi in the corner. It takes me 20-25 minutes to get to the Empire State Building in midtown whether I walk, jump in a cab or take the subway. If I have time to kill, I'll take a his, as they take longer than anything for long travels, but great to get to a subway quickly if it's raining.",72062,40198.0,within a few hours,1.0,1.0,4.0,0.0,"New York, NY, United States",Manhattan,40.7254,-73.9815699999999,Apartment,Entire home/apt,6,2.0,2,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Gym,Breakfast,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Host greets you""}",350,2,25,2,2 days ago,1,13,39,50,298,7,0,90.0,10.0,9.0,10.0,10.0,9.0,10.0,0,strict_14_with_grace_period,4,3,1,0,0.06,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1
21,27659,3 Story Town House in Park Slope,,119588,40304.0,within a day,0.9,0.0,2.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.66499,-73.97925,Apartment,Entire home/apt,9,1.5,2,6,Real Bed,"{""Cable TV"",""Air conditioning"",Kitchen,Heating,Essentials,""Hair dryer"",""Private entrance"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",400,1,0,2,3 days ago,1,0,17,17,216,16,6,95.0,10.0,9.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,2,2,0,0,0.24,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
35,45910,Beautiful Queens Brownstone! - 5BR,,204539,40407.0,within a few hours,0.9,0.0,5.0,1.0,"Queens, NY, United States",Queens,40.70382,-73.89797,Townhouse,Entire home/apt,16,2.5,5,10,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Hair dryer"",Iron,""Pack ’n Play/travel crib"",""Hot water"",""Long term stays allowed"",Other}",350,9,25,8,2 weeks ago,1,30,60,90,365,10,1,89.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,5,4,1,0,0.11,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
67,79067,Lovely 3 bedroom in Italianate Brownstone w/garden,Five minute walk to C train or G train.  20 minutes to Manhattan.  Uber and taxis ready to take you anywhere.,425506,40608.0,within an hour,1.0,0.0,1.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.6848,-73.96219,Townhouse,Entire home/apt,5,2.5,3,4,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",350,5,50,6,5 months ago,1,30,56,56,156,14,2,95.0,10.0,9.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,1,1,0,0,0.3,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1
68,80684,Duplex w/ Terrace @ Box House Hotel,"Located in north Greenpoint--just a 10 minute walk over the Pulaski Bridge to the Vernon Blvd-Jackson Ave 7 train station, which is just one stop to Grand Central Station. Also, just a short walk to the Greenpoint Avenue G train or the East River Ferry. Greenpoint is an artsy Brooklyn neighborhood filled with great restaurants, cafes, and shops.",417504,40603.0,within an hour,1.0,0.0,28.0,1.0,"Brooklyn, NY, United States",Greenpoint,40.7377599999999,-73.9532699999999,Boutique hotel,Private room,4,1.0,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Doorman,Gym,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed""}",349,2,25,3,today,1,6,29,29,60,8,0,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,28,17,11,0,0.09,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1
69,80700,Loft w/ Terrace @ Box House Hotel,"Located just walking distance to the Vernon Blvd-Jackson Ave 7 train, Greenpoint Avenue G train or the East River Ferry. We are minutes from Williamsburg, Long Island City and Manhattan. Enjoy your NYC stay at this very cozy and discreet environment located in the industrial chic area of north Greenpoint. The perfect location to explore all of New York City!",417504,40603.0,within an hour,1.0,0.0,28.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.73738,-73.95482,Boutique hotel,Private room,4,1.0,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Doorman,Gym,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed""}",349,2,0,3,a week ago,1,6,29,29,60,7,1,91.0,10.0,9.0,10.0,10.0,7.0,10.0,0,strict_14_with_grace_period,28,17,11,0,0.07,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
89,141890,LUXURY SOHO 2 Bedroom Apt ,,689661,40705.0,,,0.0,1.0,0.0,"New York, NY, United States",Manhattan,40.72255,-73.99346,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly""}",375,1,0,3,45 months ago,1,0,0,0,0,18,0,91.0,9.0,8.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,1,1,0,0,0.21,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
101,165080,Amazing Brownstone in Best Brooklyn,"subway is 2 blocks away, plenty of street parking, easy biking",787273,40730.0,,,0.0,1.0,1.0,"Brooklyn, NY, United States",Brooklyn,40.6809,-73.99233,House,Entire home/apt,10,2.5,4,5,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Other}",500,6,50,7,8 months ago,1,0,0,0,0,7,3,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.07,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
102,166983,"3 BR, Beautiful Brooklyn Duplex",,795640,40732.0,,,0.0,1.0,1.0,"Brooklyn, NY, United States",Carroll Gardens,40.68252,-73.99619,Apartment,Entire home/apt,6,2.0,3,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""translation missing: en.hosting_amenity_50""}",350,4,75,5,32 months ago,1,0,0,0,0,6,0,97.0,9.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.06,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1
111,177421,Brand New Beautiful Duplex Apartment with Garden,"The G train, Nassau stop, is 1 short block away just around the corner.  The G train travels south into Brooklyn, or north into Queens where you can transfer to the L, E or M into midtown Manhattan. The L train, Bedford Ave. stop, is a 10 minute walk away.  The L train travels into Manhattan 14th St.  1st Ave. and 14th street is one stop away, Union Sq. is 3 stops. The NYC Ferry is a great way to get around, and we live about 15 mins walk from two ferry landings (North Williamsburg and Greenpoint).  For $2.75 you can travel south to Dumbo and explore Brooklyn Bridge Park, or to South Street Seaport, or you can travel north to Queens (LIC and Astoria), East 34th St. in Manhattan, or Roosevelt Island. There is a Citibike (bike share) station across the street. On-street parking is readily available in our neighborhood.",848748,40745.0,within a few hours,1.0,1.0,2.0,0.0,"Brooklyn, NY, United States",Greenpoint,40.72315,-73.95226,House,Entire home/apt,6,2.0,3,4,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Wide hallways"",""Wide entrance for guests"",""Well-lit path to entrance"",""Handheld shower head""}",500,4,50,2,5 days ago,1,2,12,19,127,20,8,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,2,2,0,0,0.21,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1
