price,neighbourhood,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost,parking
149,Brooklyn,40.64749,-73.97237,Apartment,Private room,1.0,1,1,0.0,1
150,Harlem,40.80902,-73.9419,Apartment,Private room,1.0,1,1,0.0,-1
190,Harlem,40.79685,-73.94872,Apartment,Entire home/apt,1.0,2,2,0.0,-1
60,Brooklyn,40.65599,-73.97519,Condominium,Private room,1.0,1,1,1.0,1
80,Manhattan,40.86754,-73.92639,Apartment,Private room,1.0,1,1,0.0,1
150,Flatbush,40.63702,-73.96327,House,Private room,1.0,1,2,0.0,-1
120,Brooklyn,40.66278,-73.97966,Apartment,Entire home/apt,1.0,1,1,0.0,-1
150,Flatbush,40.65944,-73.96238,Apartment,Entire home/apt,1.0,1,1,0.0,1
115,Brooklyn,40.68554,-73.9409,Townhouse,Entire home/apt,1.0,2,2,0.0,-1
200,Manhattan,40.73961,-73.98074,Apartment,Entire home/apt,1.0,1,1,0.0,1
110,Manhattan,40.72004,-73.99104,Apartment,Private room,1.0,1,1,0.0,-1
225,Brooklyn,40.6734299999999,-73.98338,Condominium,Entire home/apt,2.0,2,1,0.0,-1
130,Flatbush,40.65401,-73.96323,Apartment,Entire home/apt,2.0,1,2,0.0,1
50,Manhattan,40.72912,-73.98057,Apartment,Private room,1.0,1,1,0.0,-1
98,Clinton Hill,40.68634,-73.966,Townhouse,Private room,1.0,1,2,0.0,-1
89,Manhattan,40.82803,-73.94731,Apartment,Private room,1.0,1,1,0.0,-1
60,Hamilton Heights,40.82279,-73.95139,Apartment,Private room,1.0,1,1,0.0,1
200,Gowanus,40.68157,-73.98989,Townhouse,Entire home/apt,2.0,3,3,0.0,1
125,Brooklyn,40.68698,-73.9657199999999,Townhouse,Private room,1.0,1,2,0.0,1
140,Manhattan,40.7288,-73.98192,Apartment,Entire home/apt,1.0,1,1,0.0,-1
350,Manhattan,40.7254,-73.9815699999999,Apartment,Entire home/apt,2.0,2,4,1.0,-1
400,Brooklyn,40.66499,-73.97925,Apartment,Entire home/apt,1.5,2,6,0.0,-1
170,Manhattan,40.77842,-73.97556,Apartment,Entire home/apt,1.0,1,2,0.0,-1
75,Lefferts Garden,40.65593,-73.96053,Apartment,Private room,1.0,1,1,0.0,-1
90,Brooklyn,40.7192299999999,-73.96468,Apartment,Private room,1.0,1,1,0.0,-1
77,Brooklyn,40.6318799999999,-73.93248,House,Private room,1.0,3,1,0.0,1
250,Greenpoint,40.73409,-73.95348,Apartment,Entire home/apt,1.0,3,3,1.0,-1
199,Brooklyn,40.71561,-73.94835,Apartment,Entire home/apt,1.5,1,1,0.0,1
140,Boerum Hill,40.6857,-73.99183,Apartment,Entire home/apt,1.0,2,1,0.0,-1
140,Kew Garden Hills,40.74028,-73.83168,House,Private room,1.0,1,1,0.0,1
160,Brooklyn,40.7159599999999,-73.93938,Apartment,Entire home/apt,1.0,1,1,0.0,-1
115,Brooklyn,40.6741,-73.96595,Apartment,Entire home/apt,1.0,2,4,0.0,-1
250,Manhattan,40.76123,-73.9642,Apartment,Entire home/apt,1.0,1,1,0.0,-1
80,Manhattan,40.82704,-73.9490699999999,Apartment,Entire home/apt,1.0,1,3,0.0,-1
100,Harlem,40.82374,-73.9373,Apartment,Entire home/apt,1.0,2,2,1.0,1
350,Queens,40.70382,-73.89797,Townhouse,Entire home/apt,2.5,5,10,0.0,1
130,Upper East Side,40.77333,-73.95199,Apartment,Private room,1.0,1,1,0.0,-1
195,Manhattan,40.76244,-73.99271,Apartment,Entire home/apt,1.0,1,2,0.0,-1
80,Brooklyn,40.69546,-73.93503,Apartment,Private room,1.0,1,1,0.0,-1
140,Queens,40.70234,-73.89816,Apartment,Private room,1.0,2,1,0.0,-1
105,Manhattan,40.76548,-73.98474,Apartment,Shared room,1.0,1,1,0.0,-1
200,Manhattan,40.80234,-73.95603,Apartment,Private room,1.0,1,1,0.0,-1
140,Ditmars / Steinway,40.77185,-73.90502,Apartment,Entire home/apt,1.0,1,2,0.0,-1
239,Manhattan,40.73012,-73.99053,Apartment,Entire home/apt,1.0,1,1,0.0,-1
140,Queens,40.70411,-73.89934,Apartment,Entire home/apt,1.0,3,1,0.0,-1
250,Manhattan,40.71756,-73.99503,Apartment,Entire home/apt,1.0,2,3,0.0,1
225,Manhattan,40.73194,-73.99474,Apartment,Entire home/apt,1.0,1,1,0.0,-1
175,Harlem,40.81583,-73.94707,Apartment,Private room,1.0,1,1,0.0,1
195,Upper West Side,40.80021,-73.9607099999999,Apartment,Entire home/apt,1.0,3,3,0.0,1
80,Harlem,40.80335,-73.9575,Apartment,Private room,1.5,1,1,0.0,-1
60,Brooklyn,40.66793,-73.9832699999999,Apartment,Private room,2.0,1,1,0.0,-1
90,The Bronx,40.81309,-73.85514,House,Private room,1.0,1,2,0.0,1
75,Manhattan,40.8664799999999,-73.9263,Apartment,Private room,1.0,1,2,1.0,1
60,Williamsburg,40.7069,-73.95467,Apartment,Private room,1.0,1,3,0.0,-1
200,East Village,40.72807,-73.98594,Apartment,Entire home/apt,1.0,1,1,0.0,-1
70,Brooklyn,40.68317,-73.9470099999999,Apartment,Private room,1.0,1,1,0.0,-1
90,Manhattan,40.71702,-73.99811,Apartment,Entire home/apt,1.0,1,2,0.0,-1
60,Brooklyn,40.71368,-73.9626,Apartment,Private room,1.0,1,1,0.0,-1
129,Manhattan,40.72956,-73.98158,Apartment,Entire home/apt,1.0,2,2,0.0,-1
75,Hamilton Heights,40.82888,-73.9430699999999,Apartment,Private room,1.0,1,1,0.0,1
175,Park Slope,40.67319,-73.97323,Apartment,Entire home/apt,1.0,1,1,0.0,-1
49,Brooklyn,40.6715,-73.94808,Apartment,Private room,1.0,1,1,0.0,1
140,Brooklyn,40.71031,-73.9583,Apartment,Entire home/apt,1.0,1,1,0.0,1
125,Greenpoint,40.73119,-73.95578,Apartment,Private room,1.0,1,1,0.0,-1
90,Kingsbridge Heights,40.87207,-73.90193,Apartment,Entire home/apt,1.0,1,1,0.0,-1
55,Greenpoint,40.72488,-73.95018,Apartment,Private room,1.0,2,1,0.0,-1
135,Brooklyn,40.68674,-73.98876,House,Entire home/apt,2.5,2,2,0.0,-1
350,Brooklyn,40.6848,-73.96219,Townhouse,Entire home/apt,2.5,3,4,0.0,-1
349,Greenpoint,40.7377599999999,-73.9532699999999,Boutique hotel,Private room,1.0,1,2,0.0,-1
349,Brooklyn,40.73738,-73.95482,Boutique hotel,Private room,1.0,1,2,0.0,-1
249,Greenpoint,40.73842,-73.95312,Boutique hotel,Private room,1.0,1,2,0.0,-1
199,Williamsburg,40.7205,-73.96015,Condominium,Entire home/apt,2.0,2,3,0.0,1
179,Brooklyn,40.73813,-73.95394,Boutique hotel,Private room,1.0,1,1,0.0,-1
150,Crown Heights,40.6759099999999,-73.94715,Apartment,Entire home/apt,1.5,3,3,0.0,-1
79,Crown Heights,40.66966,-73.94735,Apartment,Entire home/apt,1.0,1,1,0.0,1
140,Brooklyn,40.71055,-73.95098,Apartment,Entire home/apt,1.0,1,1,0.0,1
200,Bedford-Stuyvesant,40.69465,-73.95458,Loft,Entire home/apt,1.0,2,4,0.0,1
165,Clinton Hill,40.6841299999999,-73.96542,Condominium,Private room,1.5,1,3,1.0,1
125,Manhattan,40.73877,-73.97707,Apartment,Entire home/apt,1.0,1,1,0.0,-1
130,Manhattan,40.74893,-73.99544,Apartment,Entire home/apt,1.0,1,1,0.0,-1
70,The Rockaways,40.58615,-73.81245,Apartment,Private room,1.0,1,1,0.0,-1
100,Crown Heights,40.67086,-73.94872,Apartment,Entire home/apt,1.0,1,1,0.0,1
165,Brooklyn,40.67539,-73.96093,Apartment,Entire home/apt,1.0,3,4,0.0,-1
90,Harlem,40.8054,-73.95189,Apartment,Private room,1.0,1,1,0.0,-1
87,East Village,40.73067,-73.98702,Apartment,Private room,1.0,1,1,0.0,-1
85,Manhattan,40.79918,-73.96607,Apartment,Private room,2.0,1,1,0.0,-1
125,Brooklyn,40.71109,-73.94332,Apartment,Entire home/apt,1.0,2,1,0.0,-1
250,Brooklyn,40.67632,-73.97616,House,Entire home/apt,3.0,3,3,0.0,-1
141,Brooklyn,40.72212,-73.94254,Apartment,Entire home/apt,1.0,1,2,0.0,1
375,Manhattan,40.72255,-73.99346,Apartment,Entire home/apt,1.0,2,2,0.0,-1
145,Brooklyn,40.7194299999999,-73.9565,Apartment,Entire home/apt,1.0,1,2,0.0,-1
200,Chelsea,40.74249,-74.00329,Apartment,Entire home/apt,1.0,1,1,0.0,-1
95,Upper West Side,40.79264,-73.97294,Apartment,Entire home/apt,1.0,2,2,0.0,-1
175,Manhattan,40.72831,-74.00177,Apartment,Entire home/apt,1.0,1,1,0.0,-1
250,Manhattan,40.78508,-73.9533199999999,Apartment,Entire home/apt,1.0,2,2,0.0,-1
250,Manhattan,40.7200799999999,-73.98404,Apartment,Entire home/apt,1.0,3,3,0.0,1
98,Williamsburg,40.7102,-73.94495,Apartment,Private room,1.0,1,1,1.0,1
150,Brooklyn,40.67359,-73.97904,Apartment,Entire home/apt,1.0,1,1,0.0,-1
130,Brooklyn,40.72489,-73.95494,Apartment,Entire home/apt,1.0,1,1,0.0,-1
200,Manhattan,40.77724,-73.98109,Apartment,Entire home/apt,1.0,1,1,0.0,-1
90,Brooklyn,40.71309,-73.94128,Apartment,Private room,1.0,1,1,0.0,-1
500,Brooklyn,40.6809,-73.99233,House,Entire home/apt,2.5,4,5,0.0,1
350,Carroll Gardens,40.68252,-73.99619,Apartment,Entire home/apt,2.0,3,4,0.0,-1
205,Chelsea,40.74342,-73.99483,Apartment,Entire home/apt,1.0,1,1,1.0,1
219,Park Slope,40.67853,-73.98089,House,Entire home/apt,2.0,2,4,0.0,1
60,Brooklyn,40.6788,-73.97643,Bed and breakfast,Private room,3.0,1,4,0.0,1
