Fecha,Codigo_Finca,Kilos,Ingreso_USD
2014-01-01,1101,960,3360.0
2014-01-01,1303,120,420.0
2014-02-01,1303,199,696.5
2014-03-01,1101,408,1428.0
2014-03-01,1202,591,2068.5
2014-03-01,1303,485,1697.5
2014-04-01,1202,121,423.5
2014-05-01,1101,610,2135.0
2014-05-01,9999,289,1011.5
2014-06-01,1202,975,3412.5
2014-06-01,1303,931,3258.5
2014-06-01,9999,584,2044.0
2014-07-01,1101,120,420.0
2014-07-01,1202,373,1305.5
2014-07-01,1303,415,1452.5
2014-07-01,9999,876,3066.0
2014-08-01,9999,527,1844.5
2014-09-01,1101,134,469.0
2014-09-01,1202,661,2313.5
2014-09-01,1303,101,353.5
2014-09-01,9999,665,2327.5
2014-10-01,1101,921,3223.5
2014-10-01,1303,655,2292.5
2014-10-01,9999,369,1291.5
2014-11-01,1101,370,1295.0
2014-12-01,1101,819,2866.5
2014-12-01,1202,978,3423.0
2014-12-01,1303,316,1106.0
2015-01-01,1101,140,490.0
2015-02-01,1101,228,798.0
2015-02-01,9999,692,2422.0
2015-03-01,1101,518,1813.0
2015-03-01,1202,872,3052.0
2015-03-01,1303,140,490.0
2015-03-01,9999,300,1050.0
2015-04-01,1101,132,462.0
2015-04-01,1303,827,2894.5
2015-04-01,9999,783,2740.5
2015-05-01,1101,646,2261.0
2015-05-01,1202,712,2492.0
2015-05-01,1303,742,2597.0
2015-05-01,9999,317,1109.5
2015-06-01,9999,957,3349.5
2015-07-01,9999,663,2320.5
2015-08-01,1101,999,3496.5
2015-08-01,1202,506,1771.0
2015-08-01,1303,754,2639.0
2015-08-01,9999,135,472.5
2015-09-01,1101,938,3283.0
2015-09-01,9999,656,2296.0
2015-10-01,1303,719,2516.5
2015-11-01,1101,430,1505.0
2015-11-01,1202,447,1564.5
2015-11-01,1303,289,1011.5
2015-12-01,1202,727,2544.5
2015-12-01,1303,358,1253.0
2016-01-01,1101,748,2618.0
2016-01-01,1202,324,1134.0
2016-01-01,9999,926,3241.0
2016-02-01,1101,707,2474.5
2016-02-01,1202,791,2768.5
2016-02-01,1303,596,2086.0
2016-03-01,1202,486,1701.0
2016-03-01,1303,724,2534.0
2016-03-01,9999,798,2793.0
2016-04-01,1101,741,2593.5
2016-04-01,1202,954,3339.0
2016-04-01,9999,502,1757.0
2016-05-01,1101,152,532.0
2016-05-01,1202,771,2698.5
2016-05-01,1303,346,1211.0
2016-05-01,9999,302,1057.0
2016-06-01,1101,500,1750.0
2016-06-01,1202,379,1326.5
2016-06-01,1303,709,2481.5
2016-06-01,9999,610,2135.0
2016-07-01,1202,223,780.5
2016-07-01,1303,563,1970.5
2016-08-01,1101,502,1757.0
2016-08-01,1202,610,2135.0
2016-08-01,9999,919,3216.5
2016-09-01,1101,739,2586.5
2016-09-01,1202,971,3398.5
2016-09-01,9999,572,2002.0
2016-10-01,1202,397,1389.5
2016-10-01,9999,445,1557.5
2016-11-01,1101,671,2348.5
2016-11-01,1303,353,1235.5
2016-11-01,9999,136,476.0
2016-12-01,1101,108,378.0
2016-12-01,1303,307,1074.5
2016-12-01,9999,251,878.5
2017-01-01,1101,772,2702.0
2017-01-01,1202,686,2401.0
2017-01-01,1303,519,1816.5
2017-01-01,9999,951,3328.5
2017-02-01,1101,211,738.5
2017-02-01,1303,960,3360.0
2017-03-01,1101,805,2817.5
2017-03-01,1202,819,2866.5
2017-03-01,1303,260,910.0
2017-04-01,1101,915,3202.5
2017-04-01,1202,995,3482.5
2017-04-01,1303,294,1029.0
2017-04-01,9999,132,462.0
2017-05-01,1101,982,3437.0
2017-05-01,1202,121,423.5
2017-05-01,9999,464,1624.0
